Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Technological change: Enhancing the Benefits / Commonwealth Working Group,Thay ??i công ngh? (Nâng cao l?i nhu?n),Commonwealth Working Group, ,"Natural Sciences and Technology;""Technological change""","E. : Commonwealth Secretariat, 1985",NV01815
Energy decisions for the future Challenge and opportunities Vol III / Mitsuru Miyata,Quy?t ??nh hành ??ng cho t??ng lai (Thách th?c và c? h?i),"Miyata, Mitsuru",Kenichi Matsui,"Educational culture;""Opportunities"";""Th? thách"";""Challge"";""C? h?i""","Japan : IAEE, 1986",NV06807
Asian development out look 1991 / Asian development bank, ,Asian development bank, ,"Economics;""1991"";""Châu á"";""Asian""","Philippines : Asian development bank, 1991",NV01910
Observing the Economy / C. A. Gregory,Quan sát n?n kinh t?,C. A. Gregory,J. C. Altman,"Educational culture;""Economic"";""Observing"";""Quan sát"";""N?n kinh t?""","E. : Routledge, 1989",NV01816
The Economics of the European Union: Policy and Analysis / Mike Artis,Kinh t? h?c ? liên hi?p Châu âu (Chính sách và phân tích),Artis Mike,Lee Norman,"Economics;""Economics"";""Policy"";""Liên minh châu âu"";""Kinh t? h?c"";""Chính sách"";""European Union""","USA. : Oxford university press, 1994",NV01792
Global change and transformation: Economic essays in honor of karsten laursen / Lauge Stetting, ,Stetting Lauge,Ebbe Yndgaard,"Educational culture;""N?n kinh t? quá ??"";""Thay ??i toàn c?u"";""Transfomation economic"";""Global change""","Coperhager : Handelshojkolens forlag, 1993",NV10048
Economic analysis of environmental impacts / John A. Dixon,Nh?ng phân tích kinh t? h?c v? ?nh h??ng c?a môi tr??ng,"Dixon, John A.",Louise Fallon Scura,"Real Estate;""Environment"";""Phân tích kinh t? h?c"";""impacts"";""?nh h??ng môi tr??ng"";""Economic analysis""","E. : Earthscan Publications Ltd, 1986",NV01819
"Population, economic develpoment, and the environment / Kerstin Lindal-Kiessling",Dân s? phát tri?n kinh t? và môi tr??ng,Kerstin Lindal-Kiessling,Hans Landberg,"Educational culture;""Economic develpoment"";""Environment"";""Môi tr??ng"";""Phát tri?n kinh t?"";""Population"";""Dân s?""","E. : Oxford university press, 1994",NV01814
Practical Builders'Estimating / W. Howard Wainwright,?ánh giá th?c t? c?a nhà th?u khoán,Wainwright W. Howard,Wood A. A. B,"Natural Sciences;""Build"";""Th?c ti?n"";""Xây d?ng"";""Practical""","E. : Stanley Thornes, 1991",NV01809
The human development race improving the quality of life in developing countries / Marc M. Lindenberg,T?c ?? phát tri?n c?a con ng??i,"Lindenberg, Marc M.", ,"Educational culture;""T?c ?? phát tri?n"";""development race"";""Con ng??i"";""Human""","New York : Aninternational center for economic growth publication, 1993","NV02095;""NV02114"""
Inflation exchange rate & the world economy: Lectures on international monetary economics / W. M. Corden,L?m phát t? giá h?i ?oái và kinh t? th? gi?i,"Corden, W. M.", ,"Finance and Banking;""T? giá h?i ?oái"";""L?m phát"";""Kinh t? qu?c t?"";""Exchange rate"";""Inflation"";""International economic""","London : Oxford university press, 1977",NV02117
Asian development economic success & policy lessons / William E. James,Thành công phát tri?n kinh t? ? châu á và nh?ng bài h?c v? chính sách,"James, William E.","Seiji Naya;""G. M. Meier""","Economics;""Chính sách"";""Asian"";""Economic development"";""Phát tri?n kinh t?"";""Policy"";""Châu á""","New York : The University of Wisconsin press, 1989",NV02112
Rural energy planning / K. V. Ramani,K? ho?ch hoá n?ng l??ng vùng nông thôn,"Ramani, K. V.", ,"Real Estate;""Nông thôn"";""N?ng l??ng"";""Rural"";""Energy""","Weng Fatt Press, 1988",NV02118
The Economics of Transnational commons / Partha Dasgupta, ,"Dasgupta, Partha", ,"Economics;""Commons"";""Natural resource management"";""Qu?n lý môi tr??ng"";""Economic""","New York : Oxford University Press Inc, 1997",NV02131
"Corruption, Development and Inequality / Peter M. Ward", ,Ward Peter M., ,"Social political;""B?t bình ??ng"";""Distribution"";""Ineauality"";""Phân ph?i"";""Suy thoái"";""Corruption""","London : Routlege, 1989",NV02182
The challenge to Western management development / Julia Davies, ,Davies Julia, ,"Business Administration;""Phát tri?n"";""qu?n lý"";""ph??ng tây"";""development"";""Management"";""Western""","E. : Routlege, 1989",NV02181
Towards capitalist restoration? Chinese socialism after Mao / Michel Chossudovsky, ,Chossudovsky Michel, ,"Political Economics;""China"";""Ch? ngh?a xã h?i"";""H?i ph?c ch? ngh?a t? b?n"";""Restoration capitalist"";""Sau Mao"";""Trung Qu?c"";""after Mao"";""socialism"";""Chinese""","Hongkong : Macmillan, 1986",NV02179
Issues in third world development / Kenneth C. Nobe, ,Nobe Kenneth C., ,"Economics;""Các n??c ?ang phát tri?n"";""??t ?ai"";""Water resourse"";""Third world"";""Ngu?n n??c"";""Land"";""Agricultural"";""Nông nghi?p""","Coloriado : Westview, 1983",NV02177
Economic stabilization in developing countries / William R. Cline, ,"Cline, William R.",Weintraub Sidney,"Economics;""Các n??c ?ang phát tri?n"";""Economic stabilization"";""Developing countries"";""?n ??nh kinh t?""","USA. : The brookings institution, 1981","NV01969;""NV02167"""
Industrial development: Global report 1995 / UNIDO, ,UNIDO, ,"Economics;""Industrial development"";""Phát tri?n công nghi?p"";""1995""","Washington : Oxford university, 1995",NV06798
Development economics and policy: Readings / Ian Livingstone, ,Livingstone Ian, ,"Economics;""Economics"";""kinh t? h?c"";""Chính sách kinh t?"";""Policy economics""","London : George Allen & Unwin Ltd, 1981",NV02172
Dependent development: The alliance of multirational states and local capital in Brazil / Peter Evans, ,Evans Peter, ,"Finance and Banking;""Multirational states"";""Brazil"";""M?i quan h? ?a qu?c gia"";""V?n ??a ph??ng"";""Local capital""","New Jessey : Princeton University press, 1979",NV02220
Economics and technological change / Rod Coombs, ,Coombs Rod, ,"Economics;""Teachnology"";""??i m?i công ngh?"";""Công ngh?""","Hongkong : Macmillan, 1987",NV02226
The political economy of development / J. Faaland, ,Faaland J.,J. R. Parkision,"Economics;""Kinh t? chính tr?"";""Political economic""","London : Frances Printer, 1986",NV02166
International economic problems / Leonard Gomes, ,Gomes Leonard, ,"Commerce;""Kinh t? qu?c t?"";""International economic""","London : Macmillan, 1978",NV02165
Development theory: Four critical studies / David Lehmann, ,"Lehmann, David", ,"Educational culture;""Development theory"";""Lý thuy?t phát tri?n kinh t?""","London : Frank Cass, 1979",NV06811
The condition for economic recovery / John Cornvall, ,Cornvall John, ,"Economics;""Economic recovery"";""Ph?c h?i kinh t?""","Oxford : Martin Robertson, 1983",NV02229
Economic issues in public policies / Richard B. McKenzie, ,McKenzie Richard B., ,"Economics;""Economic issues"";""Chính sách công"";""Public policy""","New York : Mc Graw-Hill, 1980",NV02170
Economic interaction in the Pacific Basin / Lawrence B. Krause, ,Krause Lawrence B.,Sueo Sekiguchi,"Economics;""Pacific"";""T??ng tác kinh t?"";""Economic interaction"";""Thái Bình D??ng""","Washington : The Brocking, 1980",NV02169
The economics of livestock system in developing counties / James R. Simson, ,Simson James R., ,"Economics;""Các n??c ?ang phát tri?n"";""Livestock"";""Developing countries"";""Ch?n nuôi gia súc""","Colorado : Westview press, 1988",NV02168
Reality and Rhetoric: Studies in the economics of development / P. T. Baner, ,"Baner, P. T.", ,"Economics;""Phát tri?n kinh t?"";""Th?c t?"";""Economic development"";""S?c thuyét ph?c""","London : Harvard University Press, 1984",NV02173
Port pricing and investment policy for developing countries / Esra Bennathan, ,"Bennathan, Esra",A. A. Walters,"Natural sciences and Technology;""Chính sách ??u t?"";""Developing countries"";""Giá c?"";""Investment Policy"";""các n??c phát tri?n"";""price"";""Các n??c ?ang phát tri?n""","Washington : Oxford university press, 1979",NV06800
The Urban labor market and income distribution: A study of Malaysia / Dipak Maumdar, ,Dipak Maumdar, ,"Labor economics;""Lao ??ng thành th?"";""Phân ph?i thu nh?p"";""Th? tr??ng lao ??ng"";""Urban labour"";""income distribution"";""Market labour""","Washington DC : Oxford university, 1981",NV06801
Inflation and Unemployment in the modern society / Thorkil Kristensen, ,"Kristensen, Thorkil", ,"Economics;""L?m phát"";""Xã h?i hi?n ??i"";""Unemployment"";""Th?t nghi?p"";""Inflation"";""Modern sociaty""","New York : Pracger publisher, 1981",NV02219
Oligopoly and the theory of Games / J. W. Friedman, ,Friedman J. W., ,"Economics;""Oligopoly"";""Lý thuy?t toán h?c"";""Theory game""","Amsterdam : North - Holland, 1977",NV02233
A neoclassical analisis of macro-economic policy / Micheal Beenstock, ,"Beenstock, Micheal", ,"Economics;""Macroeconomic"";""Kinh t? v? mô""","London : Cambridge University, 1980","NV02204;""NV02287"""
A return to free market economics? / John Jewkes, ,"Jewkes, John", ,"Economics;""Free market"";""Th? tr??ng t? do""","London : Macmillan, 1978",NV02201
Reshaping the world economic order / Herbert Gierch, ,Gierch Herbert, ,"Economics;""??nh hình kinh t? th? gi?i"";""World economic order""","Laxich : J.C.B.Mohr, 1997",NV02126
Toward a critical political economics / Dwayne Ward, ,Ward Dwayne, ,"Economics;""Kinh t? chính tr?"";""Critical"";""Political economic""","California : Goodyear publishing, 1977",NV02200
The migration of labor / Oded Stark, ,Oded Stark, ,"Labor economics;""Labor"";""Lao ??ng"";""Migration"";""Di chú""","Cambrige : Basil black well, 1993",NV02189
The developing countries in world trade / Diana Tussie, ,Tussie Diana,David Glover,"Commerce;""Th??ng m?i qu?c t?"";""Developing country"";""World trade"";""N??c ?ang phát tri?n""","Colorado : Lynne rienner publisher, 1983",NV02188
Understanding the free trade agreement / Donald M. McRace, ,"McRace, Donald M.",Bedra P. Steger,"Law;""Free trade"";""free trade agreement"";""hi?p ??c th??ng m?i"";""Th??ng m?i t? do""","Nova Scotia : The institute for research on public policy, 1988",NV02187
Public and international economics / Ali M. El-Agraa, ,"El-Agraa, Ali M.", ,"Finance and Banking;""Kinh t? c?ng ??ng"";""Kinh t? qu?c t?"";""Public economic"";""International economic""","London : Macmillan, 1993",NV02197
International economics / James C. Ingram, ,Ingram James C., ,"Commerce;""International economic"";""Kinh t? qu?c t?""","USA. : John Wiley & Sons, 1983",NV02194
International economics: Theory and context / Wilson B. Brown, ,"Brown, Wilson B.",Jan S. Hogendorn,"Economics;""International economic"";""Kinh t? qu?c t?""","NewYork : Addison - Wesley, 1994",NV02216
"International economic interdependence, pattern of trade balances and economic. policy coordination / Mario Baldassarri", ,Baldassarri Mario, ,"Economics;""Policy coordinationa"";""Chính sách h?p tác"";""International economic"";""Kinh t? qu?c t?""","NewYork : Martin's, 1992",NV02217
International economic and international econoic policy: A reader / Philip King, ,King Philip, ,"Commerce;""Economic policy"";""International economic"";""Kinh t? qu?c t?"";""Chính sách kinh t?""","Singapor : Mc Graw - Hill, 1990","NV00621;""NV02211"""
Economic interdependence in the Asia - Pacific region / C. H. Kwan, ,Kwan C. H., ,"Economics;""T??ng tác kinh t?"";""Economic interdependence"";""Asia"";""Pacific""","London : Routhledge, 1994",NV02210
Policy making in the Open economy / Rudiger Dornbusch, ,Dornbusch Rudiger, ,"Economics;""L?p chính sách"";""Policy making"";""Open economy"";""Kinh t? m?""","NewYork : Oxford university, 1993",NV02192
International macroeconomics: Theory policy and applications / Graham Bird, ,"Bird, Graham", ,"Economics;""Chính sách"";""?ng d?ng"";""Policy"";""Kinh t? v? mô"";""Application"";""Macroeconomic""","Hongkong : Macmillan, 1987",NV02209
Problems of a new international economic order / Hans Moller, ,Moller Hans, ,"Commerce;""Economic order"";""Kinh t? qu?c t?"";""Tr?t t? kinh t?"";""International economic""","Berlin : Spinger-Verlog, 1977",NV02214
Change and challenge in the world economy / Bela Balassa, ,Balassa Bela, ,"Economics;""Kinh t? th? gi?i"";""World economy"";""Challenge"";""Thách th?c""","Hongkong : Macmillan, 1985",NV02208
European factor mobility: Trends and consequences / Ian Gordon, ,Gordon Ian,A. P. Thirlwall,"Labor economics;""Châu âu"";""Mobility"";""tính n?ng ??ng trong th??ng m?i"";""European""","Hongkong : Macmillan, 1989",NV02248
New Directions in the world economy / Bela Balassa, ,"Balassa, Bela", ,"Economics;""World economy"";""Kinh t? qu?c t?""","Hongkong : Macmillan, 1989",NV02247
Aspects of development and under development / Joan Robinson, ,Robinson Joan, ,"Economics;""Development"";""Phát tri?n""","Cambridge : Cambridge University, 1979",NV02246
Migration and the labor market in developing countries / Richard H. Sabot, ,Richard H. Sabot, ,"Labor economics;""N??c phát tri?n"";""Th? tr??ng lao ??ng"";""Labor maket"";""Developing country""","Colovado : Wesview press, 1982",NV02245
Micro economic policy / Keith Hartley, ,Hartley Keith,"Clem, Tisdell","Economics;""Micro economic"";""Chính sách"";""Policy"";""Kinh t? vi mô""","USA. : John Wiley & Sons, 1981","NV02241;""NV02284"""
On the economics of international labour migration / Thomas Straubhear, ,Thomas Straubhear, ,"Labor economics;""Labour"";""Lao ??ng"";""Lao ??ng qu?c t?"";""International labour""","Stuttgart : Paul Haupt Berne, 1988",NV02235
National Welfare and economic interdependence / Ebba Dohlman, ,Dohlman Ebba, ,"Commerce;""Economic interdependence"";""L?i ích qu?c gia"";""National Welfare"";""Kinh t? ph? thu?c""","NewYork : Clarenden Press Oxford, 1989",NV02239
Readings in current economics / Morton C. Grossman, ,"Grossman, Morton C.", ,"Statistical;""Chính sách tài chính"";""Thu?"";""Taxation"";""Soviet economic"";""National debt"";""L?m phát"";""Inflation"";""Fiscal policy"";""N? qu?c gia""","California ; USA : Richard D Irwin Inc, 1958",NV06821
Reflections on the world economic crisis / Andre Gunder Frank, ,Frank Andre Gunder, ,"Natural Sciences and Technology;""Crisis"";""Kinh t? th? gi?i"";""World economic"";""Kh?ng ho?ng""","London : Hutchingson, 1981",NV02280
An evolutionary view of economic growth / Ashok S. Gruha, ,Gruha Ashok S., ,"Economics;""Kinh t? qu?c dân"";""T?ng tr??ng kinh t?"";""Economic growth"";""National economic""","Oxford : Clarenden press, 1981",NV02279
The value controversy / Ian Steedman, ,Steedman Ian,"Paul Sweesy;""Wright Erik Olin""","Political Economics;""Controversy Value"";""Tranh lu?n giá tr? kinh t?""","London : Verso, 1981",NV02278
"Bureaucracy, innovation, and public policy / George W. Downs", ,George W. Downs, ,"Social political;""Chính sách chung"";""C?i cách"";""Innovation"";""Public policy"";""Bureaucracy""","Torento : Lexington books, 1976",NV02271
Modern political economy / Norman Frohlich, ,Frohlich Norman, ,"Social political;""Kinh t? chính tr?"";""Modern economic"";""Political economy"";""Kinh t? hi?n ??i""","New Jersey : Prentice - Hall Inc, 1978",NV02275
Normative economics / Frank J. B. Stilwell, ,Stilwell Frank J. B., ,"Economics;""Normative"";""Tiêu chu?n hoá"";""Economic""","Pergamon press, 1975",NV02274
The process of economic planning / Zoltan Kenssey, ,Zoltan Kenssey, ,"Educational culture;""Economic planning"";""kinh t? k? ho?ch""","NewYork : Columbia University press, 1978",NV02272
Basic economic concepts / Werner Sichel, ,Sichel Werner,Peter Eckstein,"Economics;""Basic economic"";""kinh t? c? b?n""","Chicago : Rand Mc Nally callege publishing, 1974",NV06824
Welfare economics in theory and practice / Catherine M. Price, ,Price Catherine M., ,"Economics;""Kinh t?"";""Welfare"";""Economic"";""Phúc l?i""","London : Macmillan press Ltd, 1977",NV02259
Economics for professional students / Frank Livesey, ,Livesey Frank, ,"Economics;""Economic"";""Sinh viên chuyên ngành"";""Kinh t? h?c"";""Professional student""","London : Longman, 1987",NV02253
Evolutionary economics / Kenneth E. Boulding, ,"Boulding, Kenneth E.", ,"Educational culture;""Chính sách"";""Kinh t?"";""Policy"";""Economic""","California : Sage publications Inc, 1981",NV06826
Marx and the Orthodox economists / Pat Sloan, ,Sloan Pat, ,"Economics;""Marx"";""Orthodox"";""Nhà kinh t? h?c"";""Economist"";""Mác""","Oxford : Basil Bluckwell, 1973",NV06825
The economic growth debate / Laurence Cringle, ,Laurence Cringle, ,"Educational culture;""Economic"";""T?ng tr??ng"";""Growth""","NewYork : An Impack book, 1978",NV02255
Economics / Paul A. Samuelson, ,Samuelson Paul A., ,"Economics;""Economic"";""Kinh t? h?c""","Tokyo : Mc Graw Hill Kogakusha Ltd, 1976",NV02252
World economic development 1979 and Beyond / Herman Kahn, ,Kahn Herman, ,"Economics;""International economic"";""Kinh t? qu?c t?""","NewYork : Morrow Quill paperbacks, 1979","NV06816;""NV06828"""
Economics and Marxism: Vol 2: The Dynamics of the Marxian system / Karl Kiihne, ,Karl Kiihne, ,"Political Economics;""Economic"";""Kinh t?"";""Marxism"";""Ch? ngh?a Mác""","London : Macmillan press, 1979",NV02974
The economic impact of the patent system: A study of the Bristish experience / C.T. Taylor, ,"Taylor, C.T.",Z.A. Silberston,"Natural Sciences and Technology;""Công nghi?p"";""Economic impact"";""Electrolic"";""Hoá ch?t"";""Industry"";""Inventor"";""Tác ??ng kinh t?"";""?i?n t?"";""Chemical""","London : Cambridge University Press, 1973",NV02292
