Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
Ng? pháp ti?ng Anh th?c hành. Câu và cách ??t câu / M?nh V?, ,M?nh V?, ,"Ngôn ng? - T? ?i?n;""Ngôn ng?"";""Ng? pháp ti?ng Anh""","Hà N?i : Thanh niên, 2003","Vc/92 37622;""Vc/92 37623"";""Vc/92 37624"""
"Góp ph?n nh?n th?c th? gi?i ???ng ??i / Nguy?n ??c Bình, Lê H?u Ngh?a, Tr?n H?u Ti?n", ,"Nguy?n, ??c Bình","Lê, H?u Ngh?a;""Tr?n, H?u Ti?n""","Chính tr? xã h?i;""Nh?n th?c"";""Tri?t h?c"";""Th? gi?i""","Hà N?i : Chính tr? qu?c gia, 2003",VV00006086
"V? tài nguyên ??t ?ai và phát tri?n nông nghi?p, nông thôn. / H? Chí Minh", ,"H?, Chí Minh", ,"T? t??ng HCM;""TÀi nguyên ??t ?ai"";""T? t??ng H? Chí Minh"";""Phát tri?n nông nghi?p nông thôn""","Hà N?i : Chính tr? qu?c gia, 2003","Vc/92 37646;""Vc/92 37647"";""Vc/92 37648"""
"L??c kh?o tri?t h?c ph??ng Tây hi?n ??i (Sách tham kh?o) / Bùi ??ng Duy, Nguy?n Ti?n D?ng", ,"Bùi, ??ng Duy","Nguy?n, Ti?n D?ng","Tri?t h?c;""Tri?t h?c"";""Tri?t h?c ph??ng Tây""","Hà N?i : Chính tr? qu?c gia, 2003","Vc/92 37717;""Vc/92 37718"""
Th? ch? chính tr? th? gi?i ???ng ??i, , , ,"Chính tr? xã h?i;""Th? gi?i ???ng ??i"";""Chính tr? n??c ngoài""","Hà N?i : Chính tr? qu?c gia, 2003",VV00006085
"Phát huy tinh th?n ??c l?p t? ch?, ??i m?i sáng t?o c?a t? t??ng H? Chí Minh trong th?i k? ??i m?i / Nông ??c M?nh", ,"Nông, ??c M?nh", ,"T? t??ng HCM;""T? t??ng H? Chí Minh"";""??i m?i sáng t?o"";""??c l?p t? ch?"";""Th?i k? ??i m?i""","Hà N?i : Chính tr? qu?c gia, 2003","Vc/92 37752;""Vc/92 37753"";""Vc/92 37754"""
Khoa h?c công ngh? v?i nh?n th?c bi?n ??i th? gi?i và con ng??i. M?y v?n ?? lý lu?n và th?c ti?n / Ph?m Th? Ng?c Tr?m, ,"Ph?m, Th? Ng?c Tr?m", ,Khoa h?c và công ngh?,"Hà N?i : Khoa h?c xã h?i, 2003","Vc/92 37828;""Vc/92 37829"""
??i m?i c? ch? qu?n lý khoa h?c và công ngh? ? Vi?t nam. (Sách tham kh?o) / Lê ??ng Doanh, ,"Lê, ??ng Doanh", ,"Khoa h?c và công ngh?;""Vi?t nam"";""??i m?i c? ch?"";""Khoa h?c công ngh?""","Hà N?i : Khoa h?c k? thu?t, 2003","Vc/92 37845;""Vc/92 37848"""
M? ?i?u ch?nh chính sách kinh t? / Nguy?n Thi?t S?n, ,"Nguy?n, Thi?t S?n", ,"Các n??c;""Chính sách kinh t?"";""kinh t? th? gi?i"";""M?""","Hà N?i : Khoa h?c xã h?i, 2003",Vc/92 37882
N??c ??c quá kh? và hi?n t?i, , , ,"Các n??c;""Hi?n t?i"";""Quá kh?"";""??c"";""Các n??c""","Hà N?i : Chính tr? qu?c gia, 2003",Vc/92 37923
Nh?ng khía c?nh tri?t h?c trong tín ng??ng th? cúng t? tiên c?a ng??i Vi?t ? ??ng b?ng B?c b? hi?n nay. (Sách tham kh?o) / Tr?n ??ng Sinh, ,"Tr?n, ??ng Sinh", ,"V?n hoá xã h?i;""Tri?t h?c"";""Tín ng??ng"";""Vi?t nam"";""??ng b?ng B?c b?"";""Th? cúng t? tiên""","Hà N?i : Chính tr? qu?c gia, 2002",Vc/92 38057
Truy?n thông ??i chúng - T? thông tin ??n qu?ng cáo / Locquin Jacques, ,Jacques Locquin, ,"V?n hoá xã h?i;""Thông tin"";""Truy?n thông ??i chúng"";""báo chí"";""Qu?ng cáo""","Hà N?i : Thông t?n, 2003",Vc/92 38129
S?c m?nh quân s? và toàn c?u hoá. Ti?ng nói bè b?n (Sách tham kh?o), , , ,"Quân s?;""Quân s?"";""S?c m?nh quân s?"";""Toàn c?u hoá""","Hà N?i : Chính tr? qu?c gia, 2003","Vc/92 38165;""Vc/92 38166"";""Vc/92 38167"""
Các ?oàn th? nhân dân v?i vi?c b?o ??m dân ch? ? c? s? hi?n nay / Phan Xuân S?n, ,"Phan, Xuân S?n", ,"Chính tr? xã h?i;""Dân ch?"";""Chính tr? xã h?i"";""?oàn th? nhân dân""","Hà N?i : Chính tr? qu?c gia, 2003",VV00006083
"C?m nang s? d?ng các d?ch v? Internet Tâp 1 / Nguy?n ??c Toàn, Nguy?n Hùng", ,"Nguy?n, ??c Toàn","Nguy?n, Hùng","Tin h?c;""Tin h?c"";""D?ch v? Internet"";""C?m nang""","Hà N?i : Th?ng kê, 2002",Vc/92 38239
"C?m nang s? d?ng các d?ch v? Internet Tâp 2 / Nguy?n ??c Toàn, Nguy?n Hùng", ,"Nguy?n, ??c Toàn","Nguy?n, Hùng",Tin h?c,"Hà N?i : Th?ng kê, 2002",Vc/92 38249
Phong trào c?ng s?n và công nhân qu?c t?. Ch??ng trình cao c?p. 2, , , ,"Chính tr? n??c ngoài;""Phong trào c?ng s?n qu?c t?"";""Phong trào công nhân qu?c t?""","Hà N?i : Giáo khoa Mác Lê Nin, 1986","Vc 8241/I;""Vc 8243/I"""
Ti?ng Vi?t hi?n ??i / Nguy?n V?n Thành, ,"Nguy?n, V?n Thành", ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""Ti?ng Vi?t"";""Ti?ng Vi?t hi?n ??i"";""Ngôn ng?""","Hà N?i : KHXH, 2003","Vc/92 38279;""Vc/92 38280"""
M?t s? hình th?c và bi?n pháp giáo d?c truy?n th?ng cách m?ng cho thanh niên / Ph?m Ng?c Liên, ,"Ph?m, Ng?c Liên","Nguy?n, C?nh Minh","?oàn thanh niên;""Chính tr? xã h?i"";""Giáo d?c thanh niên"";""Giáo d?c truy?n th?ng cách m?ng""","Hà N?i : Thanh niên, 1986",Vc 8333/I
Tìm hi?u l?ch s? ??ng c?ng s?n Vi?t nam qua các ??i h?i và h?i ngh? Trung ??ng 1930-2002, , , ,"??ng c?ng s?n Vi?t nam;""1930-2002"";""L?ch s? ??ng"";""Vi?t Nam"";""??i h?i"";""??ng C?ng s?n Vi?t Nam"";""H?i ngh? Trung ??ng""","Hà N?i : Lao ??ng, 2003","Vc/92 38419;""Vc/92 38422"""
??o ??c kinh doanh / Ph?m Qu?c To?n, ,"Ph?m, Qu?c To?n", ,"??o ??c kinh doanh;""Tri?t h?c""","Hà N?i : Th?ng kê, 2003","Vc/92 38455;""Vc/92 38456"";""Vc/92 38458"""
Chính sách c?a Hoa K? ??i v?i các n??c ASEAN trong và sau chi?n tranh l?nh / Lê Kh??ng Thu?, ,"Lê, Kh??ng Thu?", ,"Quan h? qu?c t?;""Chi?n tranh l?nh"";""Chính sách"";""Asean"";""M?"";""Kinh t? th? gi?i""","Hà N?i : KHXH, 2003","VV00013415;""VV00013414"";""VV00013413"""
"Bi?t ng??i - Dùng ng??i - Qu?n tr? ng??i / Tr??ng Minh Tú, (nhóm biên d?ch: T? Ng?c Ái, Nguy?n Vi?t Chi, ??ng H?ng K?)", ,"Tr??ng, Minh Tú", ,"V?n hoá xã h?i;""Bi?t ng??i"";""C?m nang"";""Dùng ng??i"";""Khoa hoc qu?n lý"";""Qu?n tr? ng??i""","Hà N?i : VhTT, 2003",Vc/92 38516
Toán cao c?p cho các nhà kinh t?. Ph?n 1: ??i s? tuy?n tính / Lê ?ình Thuý, ,"Lê, ?ình Thuý", ,"Toán h?c;""Kinh t?"";""Toán cao c?p"";""Toán h?c"";""??i s? cao c?p""","Hà N?i : Th?ng kê, 2003","Vc/92 38546;""Vc/92 38547"";""Vc/92 38548"";""Vc/92 38549"";""Vc/92 38550"";""Vc/92 38544"""
Giáo trình kinh doanh qu?c t?. T2 / Nguy?n Th? H??ng, ,"Nguy?n, Th? H??ng", ,"Giáo trình;""Kinh doanh qu?c t?""","Hà N?i : L?XH, 2003","Vc/92 38665;""Vc/92 38666"";""Vc/92 38667"";""Vc/92 38668"";""Vc/92 38669"";""Vc/92 38674"";""Vc/92 38663"""
"Con ng?òi, môi tr??ng và v?n hoá / Nguy?n Xuân Kính", ,"Nguy?n, Xuân Kính", ,"V?n hoá xã h?i;""Con ng??i"";""Môi tr??ng"";""V?n hoá"";""V?n hoá xã h?i""","Hà N?i : KHXH, 2003","Vc/92 38702;""Vc/92 38703"""
V? ch? ngh?a xã h?i và ch? ngh?a c?ng s?n 1 / Mác C., , ,"Lênin, V.I.","CNCS;""?ngghen"";""Lênin"";""Kinh ?i?n"";""CNXH"";""Mác""","Hà N?i : S? th?t, 1986",Vc 8407/I
"T? ?i?n thu?t ng? chuyên ngành Anh - Vi?t (Th? tr??ng k? h?n, tài chính, hàng hoá, ch?ng khoán) / Tr?n V? Khanh", ,"Tr?n, V? Khanh", ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""Ch?ng khoán"";""Hàng hoá"";""Th? tr??ng k? h?n"";""Tài chính"";""T? ?i?n thu?t ng? Anh Vi?t"";""ngôn ng?""","Hà N?i : Thanh niên, 2003","Vc/92 38715;""Vc/92 38716"""
Giai c?p công nhân và t? ch?c công ?oàn Vi?t nam trong n?n kinh t? th? tr??ng ??nh h??ng xã h?i ch? ngh?a / Nguy?n Vi?t V??ng, ,"Nguy?n, Vi?t V??ng", ,"Chính tr? xã h?i;""Kinh t? th? tr??ng"";""Vi?t nam"";""Xã h?i Ch? ngh?a"";""Công ?oàn"";""Giai c?p công nhân""","Hà N?i : Lao ??ng, 2003",VV00006087
C?i cách th? ch? chính tr? ? Trung qu?c (1978-2003) / ?? Ti?n Sâm, ,"??, Ti?n Sâm", ,"Các n??c;""Chính tr? Trung qu?c"";""C?i cách th? ch?"";""Trung qu?c""","Hà N?i : KHXH, 2003",Vc/92 38743
V? ch? ngh?a xã h?i và ch? ngh?a c?ng s?n 2 / Mác C., ,"Mác, C.","?ngghen, Ph.;""Lênin, V.I.""","Kinh ?i?n;""Mác"";""CNXH"";""CNCS"";""Lênin"";""?ngghen""","Hà N?i : S? th?t, 1986",Vc 8417/I
M?t s? v?n ?? c?a ch? ngh?a Mác - Lê nin và T? t??ng H? Chí Minh / H?c vi?n chính tr? qu?c gia H? Chí Minh, ,H?c vi?n chính tr? qu?c gia H? Chí Minh, ,Ch? ngh?a Mác - Lê nin,"Hà N?i, 2003","Vc/92 38746;""Vc/92 38747"""
V?n hoá ?ông s?n v?n minh Vi?t c? / Ch? V?n T?n, ,"Ch?, V?n T?n", ,"V?n hoá xã h?i;""Vi?t c?"";""V?n hoá"";""v?n hoá ?ông s?n""","Hà N?i : KHXH, 2003",Vc/92 38754
Góp ph?n tìm hi?u m?t s? v?n ?? l?ch s? c?n ??i Vi?t nam, , , ,"Lich s?;""L?ch s? Vi?t Nam"";""L?ch s? c?n ??i""","Hà N?i : V?n hóa thông tin, 2003","Vc/92 38780;""Vc/92 38781"""
"L?ch s? kháng chi?n ch?ng th?c dân Pháp c?a quân và dân khu Tây B?c <1945-1954> / Cao V?n L??ng, Nguy?n V?n Nh?t, Võ Kim C??ng", ,"Cao, V?n L??ng","Nguy?n, V?n Nh?t;""Võ, Kim C??ng""","Kháng chi?n ch?ng Pháp;""Tây b?c"";""L?ch s?""","Hà N?i : KHXH, 2003","Vc/92 38783;""Vc/92 38784"""
T? ?i?n v?n hoá Indonesia / Ph?m Th? Vinh, ,"Ph?m, Th? Vinh", ,"Indonesia;""Ngôn ng?"";""T? ?i?n v?n hoá""","Hà N?i : KHXH, 2003","Vc/92 38786;""Vc/92 38787"""
"Trung qu?c c?i cách m? c?a, nh?ng bài h?c kinh nghi?m / Nguy?n V?n H?ng", ,"Nguy?n, V?n H?ng", ,"Các n??c;""c?i cách"";""Trung qu?c"";""Kinh nghi?m""","Hà N?i : Th? gi?i, 2003",Vc/92 38790
T? ?i?n thu?t ng? ??a lý nhân v?n / Nguy?n Ng?c Tu?n, ,"Nguy?n, Ng?c Tu?n", ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""T? ?i?n thu?t ng? ??a lý nhân v?n"";""Ngôn ng?""","Hà N?i : KHXH, 2003",Vc/92 38802
Nhi?m v? c?a ?oàn thanh niên, , , ,"?oàn thanh niên;""Chính tr? xã h?i"";""Nhi?m v?"";""Vi?t Nam"";""?oàn thanh niên Vi?t Nam""","Hà N?i : S? th?t, 1987",Vc 8449/I
Nh?t b?n v?i châu Á . Nh?ng m?i liên h? lichk s? và chuy?n bi?n kinh t? - xã h?i / Nguy?n V?n Kim, ,"Nguy?n, V?n Kim", ,"Các n??c;""Nh?t b?n"";""Châu Á"";""Quan h? qu?c t?""","Hà N?i : ?HQG, 2003","Vb/92 6058;""Vb/92 6059"""
"Phát huy hào khí Th?ng long - Hà n?i xây d?ng th? ?ô ngày càng gi?u ??p, v?n minh hi?n ??i / Nguy?n Phú Tr?ng", ,"Nguy?n, Phú Tr?ng", ,Chính tr? xã h?i,"Hà N?i : Nxb. Hà N?i, 2003",Vb/92 6081
T? ?i?n k? toán - Ki?m toán th??ng m?i Anh - Vi?t = Accounting - Auditing Commercial dictionary English - Vietnamese, , , ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""K? toán"";""Ngôn ng?"";""T? ?i?n Anh Vi?t"";""Ki?m toán""","Hà N?i : Th?ng kê, 2003","Vb/92 6084;""Vb/92 6085"""
T? t??ng H? Chí Minh v? ??c l?p dân t?c g?n li?n v?i ch? ngh?a xã h?i ? Vi?t nam, , , ,T? t??ng HCM,"Hà N?i : Lao ??ng xã h?i, 2003","Va/92 3371;""Va/92 3372"""
Ch? ngh?a c?ng s?n khoa h?c. Ch??ng trình trung c?p, , , ,"Ch? ngh?a c?ng s?n khoa h?c;""Ch? ngh?a xã h?i khoa h?c""","Hà N?i : Sách giáo khoa Mác Lênin, 1987",Vc 8511/I
??ng chí H? Chí Minh / E.Cô-bê-lép, ,"Cô-bê-lép, E", ,"T? t??ng H? Chí Minh;""H? Chí Minh"";""T? t??ng H? Chí Minh""","Matsc?va : Ti?n b? và thanh niên, 1985",Vc 7895/I
Qu?c t? c?ng s?n v?i v?n ?? dân t?c và thu?c ??a, , , ,"Qu?c t? c?ng s?n;""Thu?c ??a"";""Dân t?c"";""Quan h? qu?c t?""","Hà N?i : Sách giáo khoa Mác Lê Nin, 1987",Vc 8669/I
Kinh t? Vi?t nam ??i m?i. Nh?ng phân tích và ?ánh giá quan tr?ng = Viet nam economy in the years of reform / Nguy?n V?n Ch?nh, ,"Nguy?n, V?n Ch?nh", ,"Kinh t? h?c;""Kinh t? chung"";""Vi?t nam"";""??i m?i""","Hà N?i : Th?ng kê, 2002","VV00011258;""VV00011257"""
"Tri?t h?c - H?i và ?áp. D?ch t? ti?ng Nga / Nexmeyanor, Tr?n Nguyên Vi?t (d?ch)", ,Nexmeyanor,"Tr?n, Nguyên Vi?t","Tri?t h?c;""Tri?t h?c""","?à N?ng : Nxb. ?à N?ng, 2002","Vb/92 6128;""Vb/92 6131"""
"T? ?i?n ???ng ph? Hà n?i / Nguy?n Hoàn, Nguy?n Loan, Nguy?n Tu?", ,"Nguy?n, Hoàn","Nguy?n, Tu?;""Nguy?n, Loan""",Ngôn ng? - T? ?i?n,"Hà N?i : ?HQG Hà n?i, 2004","Vb/92 6168;""Vb/92 6169"""
Ph??ng pháp lu?n ?ánh giá các t? ch?c nghiên c?u và phát tri?n và nh?ng g?i suy trong ?i?u ki?n Vi?t nam / Tr?n Chí ??c, ,"Tr?n, Chí ??c", ,Khoa h?c và công ngh?,"Hà N?i : KHKT, 2003","Vb/92 6171;""Vb/92 6172"""
"Nh?p môn phân tích l?i ích - chi phí. Ki?n th?c c?n b?n cho sinh viên ngành kinh t?, ki?n th?c c?n thi?t ?? nghiên c?u kinh t? môi tr??ng và phân tích kinh t? d? án. (tái b?n l?n th? nh?t có b? sung, ch?nh lý)", , , ,"Kinh t? phát tri?n;""Kinh t? phát tri?n"";""Nh?p môn"";""L?i ích chi phí""","Tp. H? Chí Minh : ?HQG, 2003","Vb/92 6177;""Vb/92 6178"";""Vb/92 6179"""
T? ?i?n t??ng gi?i và liên t??ng ti?ng Vi?t. / Nguy?n V?n ??m, ,"Nguy?n, V?n ??m", ,Ngôn ng? - T? ?i?n,"Hà N?i : V?n hóa thông tin, 2003","Vb/92 6181;""Vb/92 6182"""
L?ch s? Vi?t nam 1858-1896 / V? Huy Phúc, ,"V?, Huy Phúc", ,"L?ch s?;""1858-1896"";""Vi?t nam""","Hà N?i : Khoa h?c xã h?i, 2003","Vb/92 6203;""Vb/92 6206"""
"T? ?i?n thu?t ng? ki?m toán - k? toán / Thinh V?n V?nh, ?? ??c Qu?c Tr?", ,"Thinh, V?n V?nh","??, ??c Qu?c Tr?","Ngôn ng? - T? ?i?n;""Ngôn ng?"";""T? ?i?n thu?t ng?"";""K? toán"";""Ki?m toán""",Hà N?i,"Vb/92 6208;""Vb/92 6209"""
Khoa h?c và công ngh? Vi?t nam 2002, , , ,"Khoa h?c và công ngh?;""Khoa h?c công ngh?"";""N?m 2002"";""Vi?t nam""","Hà N?i : Nxb. Hà N?i, 2003","Vb/92 6213;""Vb/92 6214"""
Khoa h?c và công ngh? th? gi?i. Xu th? và chính sách nh?ng n?m ??u th? k? XXI, , , ,"Khoa h?c công ngh?;""Khoa h?c công ngh?"";""Th? k? 21""","Hà N?i : Nxb. Hà N?i, 2004","Vb/92 6224;""Vb/92 6225"""
?i?n Biên Ph? tr?n th?ng th? k? / Hoàng Minh Th?o, ,"Hoàng, Minh Th?o", ,"L?ch s?;""?i?n Biên Ph?"";""L?ch s?""","Hà N?i : Chính tr? qu?c gia, 2003","Vb/92 6232;""Vb/92 6233"""
"?i?n biên ph? - V?n ki?n ??ng, nhà n??c", , , ,L?ch s?,"Hà N?i : CTQG, 2004","Vb/92 6235;""Vb/92 6236"""
"Tr?n Phú T?ng bí th? ??u tiên c?a ??ng, m?t t?m g??ng b?t di?t (h?i ký)", , , ,"??ng c?ng s?n Vi?t nam;""L?ch s?"";""Tr?n Phú""","Hà N?i : CTQG, 2004",Vb/92 6283
"Quy?n con ng??i ? Trung qu?c và Vi?t nam (Truy?n th?ng, lý lu?n và th?c ti?n) = Tradition on and theory an implementation of human right in China and Vietnam", , , ,"Chính tr? xã h?i;""Xã h?i h?c"";""Quy?n con ng??i"";""Vi?t nam"";""Trung qu?c""","Hà N?i : CTQG, 2003",VV00006091
"L?ch s? th? gi?i. T1: Th?i c? ??i / Thôi Liên Tr?ng, (d?ch: Phong ??o)", ,"Thôi, Liên Tr?ng", ,"L?ch s?;""Th?i c? ??i"";""L?ch s? tr? gi?i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002",Vb/92 6290
"L?ch s? th? gi?i. T2: Th?i trung c? / L?u Minh Hàn, (d?ch: Phong ??o)", ,"L?u, Minh Hàn",Phong ??o,"L?ch s?;""Th?i trung c?"";""l?ch s? th? gi?i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002",Vb/92 6297
L?ch s? th? gi?i. T3: Th?i c?n ??i / L?u T? X??ng (d?ch: Phong ??o), ,"L?u, T? X??ng",Phong ??o,"L?ch s?;""L?ch s? th? gi?i"";""Th?i c?n ??i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002",Vb/92 6303
L?ch s? th? gi?i. T4: Th?i c?n ??i / L?u T? X??ng (d?ch: Phong ??o), ,"L?u, T? X??ng", ,"L?ch s?;""L?ch s? th? gi?i"";""Th?i c?n ??i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002","Vb/92 6305;""Vb/92 6307"""
"L?ch s? th? gi?i .T5: Th?i hi?n ??i / T? Thiên Ân, H?a Bình, V??ng H?ng Sinh (d?ch: Phong ??o)", ,"T?, Thiên Ân","V??ng, H?ng Sinh;""H?a Bình""","L?ch s?;""L?ch s? th? gi?i"";""Th?i hi?n ??i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002","Vb/92 6310;""Vb/92 6311"""
"L?ch s? th? gi?i. T6: Th?i ???ng ??i / T? Thiên Ân,L??ng Chí Minh (d?ch: Phong ??o)", ,"T?, Thiên Ân","Phong ??o;""L??ng, Chí Minh""","L?ch s?;""L?ch s? th? gi?i"";""Th?i ???ng ??i""","Tp. H? Chí Minh : Nxb. Tp. H? Chí Minh, 2002","Vb/92 6315;""Vb/92 6316"""
Chính sách công nghi?p và th??ng m?i c?a vi?t nam trong b?i c?nh h?i nh?p : T?p 2, , , ,"Kinh t? công nghi?p;""Vi?t nam"";""Chính sách"";""H?i nh?p"";""Kinh t? công nghi?p"";""Th??ng m?i""","Hà N?i : Nxb. Thanh Hóa, 2004","Vc/92 38836;""Vc/92 38837"""
"Nh?ng v?n ?? tâm lý xã h?i trong s? nghi?p công nghi?p hoá, hi?n ??i hoá ??t n??c / Ts NGuy?n ?ình G?m", ,"Nguy?n, ?ình G?m", ,"Tri?t h?c;""Hi?n ??i hoá"";""Tâm ly xã h?i"";""Công nghi?p hoá"";""vi?t nam"";""Tâm lý h?c""","Hà N?i : ?HSP, 2002",Vc/92 38874
10 n?m ho?t ??ng nghiên c?u khoa h?c (1993-2003), , , ,"Khoa h?c chung;""Khoa h?c chung"";""Nghiên c?u khoa h?c"";""1993-2003""","Hà N?i : CTQG, 2003","Vb/92 6321;""Vb/92 6322"""
"L?ch s? các h?c thuy?t kinh t? / Robert. B. Ekelund, Robert F. Hebert", ,Robert. B. Ekelund,Robert F. Hebert,"Kinh t? hoc;""H?c thuyêt kinh t?"";""Khoa h?c kinh t?"";""L?ch s?""","Hà N?i : Th?ng kê, 2004","VV00011240;""VV00011239"";""VV00011238"";""VV00011237"";""VV00011236"";""VV00011235"";""VV00011234"""
T? ?i?n v?n hoá bách khoa, , , ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""v?n hoá"";""T? ?i?n""","Hà N?i : V?n hóa thông tin, 2004","Vb/92 6381;""Vb/92 6382"""
"Phê phán lý tính thu?n thuý / Immanuel Kant, (d?ch: Bùi V?n Nam S?n)", ,Immanuel Kant, ,V?n hoá xã h?i,"Hà N?i : V?n h?c, 2004","Vb/92 6385;""Vb/92 6386"""
"Trung qu?c nh?ng chi?n l??c l?n (sách tham kh?o) / H? An D??ng, (d?ch: Tr?n Khang, Bùi Xuân Tu?n)", ,"H?, An D??ng","Tr?n, Khang;""Bùi, Xuân Tu?n""","Các n??c;""Kinh t? th? gi?i"";""Trung qu?c""","Hà N?i : Thông t?n, 2004","Vb/92 6389;""Vb/92 6390"""
V?n ki?n ??ng toàn t?p. T28: 1967, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng"";""??ng CSVN"";""N?m 1967""","Hà N?i : CTQG, 2003","Vb/92 6400;""Vb/92 6401"";""Vb/92 6402"";""Vb/92 6403"";""Vb/92 6397"""
V?n Ki?n ??ng toàn t?p. T29: 1968, , , ,"??ng c?ng s?n Vi?t nam;""N?m 1968"";""??ng CSVN"";""V?n ki?n ??ng""","Hà N?i : CTQG, 2004","Vb/92 6410;""Vb/92 6411"";""Vb/92 6412"";""Vb/92 6413"";""Vb/92 6405"""
V?n ki?n ??ng toàn t?p. T31: 1970, , , ,"??ng c?ng s?n Vi?t nam;""V?n ki?n ??ng"";""N?m 1970"";""??ng CSVN""","Hà N?i : CTQG, 2004","Vb/92 6420;""Vb/92 6421"";""Vb/92 6422"";""Vb/92 6423"";""Vb/92 6419"""
Kinh t? l??ng (ch??ng trình nâng cao) / Nguy?n Quang Dong, ,"Nguy?n, Quang Dong", ,"Toán h?c;""Kinh t? l??ng"";""Toán h?c""","Hà N?i : KHKT, 2002","Vb/92 6435;""Vb/92 6437"";""Vb/92 6438"""
Giáo trình l?ch s? kinh t? / Nguy?n Trí D?nh, ,"Nguy?n, Trí D?nh","Ph?m, Th? Quý","Kinh t? h?c;""Khoa h?c kinh t?"";""L?ch s? kinh t?"";""Giáo trình""","Hà N?i : Th?ng kê, 2004","VV00011256;""VV00011255"";""VV00011254"";""VV00011253"";""VV00011252"";""VV00011251"";""VV00011250"";""VV00011249"";""VV00011248"";""VV00011247"";""VV00011246"";""VV00011245"";""VV00011244"";""VV00011243"";""VV00011242"";""VV00011241"""
"L?ch s? m?i c?a n??c M? (b?n s?a ??i, b? sung - sách tham kh?o) = The new American history / Eric Foner", ,Eric Foner, ,"L?ch s?;""M?"";""L?ch s?""","Hà N?i : CTQG, 2003","Vb/92 6508;""Vb/92 6509"""
T? ?i?n kinh t? th??ng m?i Anh Vi?t / Tr?n V?n Chánh, ,"Tr?n, V?n Chánh", ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""Ngôn ng?"";""T? ?i?n Anh Vi?t"";""Kinh t? th??ng m?i""","Hà N?i : Th?ng kê, 2002","Vb/92 6524;""Vb/92 6521"";""Vb/92 6522"""
"T? ?i?n thu?t ng? pháp lu?t kinh t? Anh - Vi?t = English - Vietnamese business law dictionary of terms / Hoàng V?n Châu, ?? H?u Vinh", ,"Hoàng, V?n Châu","??, H?u Vinh","Ngôn ng? - T? ?i?n;""T? ?i?n"";""Thu?t ng? kinh t?"";""T? ?i?n Anh Vi?t"";""Ngôn ng?""","Hà N?i : Thanh niên, 2004","Vb/92 6525;""Vb/92 6527"""
Hành lang tri th?c th? k? XXI. Khoa h?c k? thu?t và môi tr??ng, , , ,"Kinh t? phát tri?n;""Kinh t? tri th?c"";""Môi tr??ng"";""Th? k? 21"";""Tri th?c"";""Khoa h?c k? thu?t""","Hà N?i : V?n hoá TT, 2002","Vc/92 38951;""Vc/92 38952"""
Hành lang tri th?c th? k? XXI (t?p 2). Xã h?i v?n hoá, , , ,"Kinh t? phát tri?n;""Th? k? 21"";""kinh t? d? báo"";""xã h?i v?n hoá"";""Kinh t? tri th?c""","Hà N?i : V?n hóa thông tin, 2003","Vc/92 38958;""Vc/92 38959"""
Hành trang tri th?c th? k? XXI (T?p 3). Kinh t?, , , ,"Kinh t? phát tri?n;""Th? k? 21"";""Kinh t? tri th?c""","Hà N?i : V?n hóa thông tin, 2003","Vc/92 38961;""Vc/92 38964"""
Hành lang tri th?c th? k? XXI (t?p 4). Chính tr? và quân s?, , , ,Kinh t? phát tri?n,"Hà N?i : V?n hóa thông tin, 2003","Vc/92 38967;""Vc/92 38969"""
"S? h?u, lý lu?n và v?n d?ng ? Vi?t Nam / Nguy?n V?n Th?c", ,"Nguy?n, V?n Th?c", ,"Tri?t h?c;""Lý lu?n"";""Vi?t nam"";""Tri?t h?c"";""V?n d?ng"";""S? h?u""","Hà N?i : KHXH, 2004","Vc/92 38971;""Vc/92 38974"""
"T? ?i?n kinh t? b?o hi?m Anh - Vi?t (English -Vietnamese insurance economic dictionary of terms) / GS TS Hoàng V?n Châu, ?? H?u V?nh", ,"Hoàng, V?n Châu", ,"Ngôn ng? - T? ?i?n;""Ngôn ng?"";""T? ?i?n Anh Vi?t"";""T? ?i?n khinh t? b?o hi?m""","Hà N?i : Thanh niên, 2003","Vc/92 38982;""Vc/92 38983"""
"Chi?n l??c qu?c gia nh?t b?n trong th? k? XXI (sách tham kh?o) / aIaxuhicô Nacaxônô, ng??i dich : ?ào nh?t Thành", ,Iaxuhicô Nacaxônô, ,"Các n??c;""Chi?n l??c qu?c gia"";""Các n??c"";""Nh?t b?n"";""Th? k? 21""","Hà N?i : Thông t?n, 2004","Vc/92 38988;""Vc/92 38989"""
